,Compound,Date,Media Sources,Negative,Neutral,Positive,Text,Tweets Ago
0,0.0,Wed Jan 10 19:30:07 +0000 2018,BBC,0.0,1.0,0.0,You can count on @BBCComedy's Tracey Ullman for a satirical take on current affairs… https://t.co/Tobb25eWjx,1
1,-0.4588,Wed Jan 10 19:20:39 +0000 2018,BBC,0.231,0.769,0.0,"RT @BBCNews: How polluted is your street? 😷

Find out: https://t.co/MW9r2UMufj https://t.co/68AJfgg8rA",2
2,-0.4588,Wed Jan 10 19:20:03 +0000 2018,BBC,0.2,0.8,0.0,RT @bbcthree: This is what happens when you breathe in polluted air. https://t.co/XZlWu2bQjD,3
3,0.8481,Wed Jan 10 19:00:03 +0000 2018,BBC,0.0,0.647,0.353,"😂 @OfficialTLC's Scrubs is great song for the ladies... 

Not so great for the unemployed male.  

#LiveAtTheApollo https://t.co/7UAURqwqIx",4
4,0.0,Wed Jan 10 18:32:03 +0000 2018,BBC,0.0,1.0,0.0,How much of your home's electricity bill goes on making cups of tea or  washing your clothes? Take this quiz to fin… https://t.co/pj3i1cRZaL,5
5,0.3182,Wed Jan 10 18:03:03 +0000 2018,BBC,0.0,0.887,0.113,"Tonight, @CherryHealey teams up with independent scientists to put everyday cosmetics to the test. 💄🔬 

The Truth A… https://t.co/eVsmvaYTgZ",6
6,0.4939,Wed Jan 10 17:30:07 +0000 2018,BBC,0.0,0.862,0.138,"To save Teresa’s life, doctors are going to have to remove part of her face.

(Warning: This video contains graphic… https://t.co/oXdQv5ABqa",7
7,0.0,Wed Jan 10 17:02:03 +0000 2018,BBC,0.0,1.0,0.0,Why does adolescence last twice as long now as it did in the 1950s? 🤔 https://t.co/q3gMvr3mqU https://t.co/X5F9a925ET,8
8,-0.3612,Wed Jan 10 16:22:04 +0000 2018,BBC,0.217,0.783,0.0,Snow has fallen in the Sahara desert. ❄️ https://t.co/804PRapagA https://t.co/RXHi6AdCHb,9
9,-0.6597,Wed Jan 10 15:30:06 +0000 2018,BBC,0.239,0.761,0.0,Researchers have published a study revealing that dogs can be trained to smell cancer. 🐶 https://t.co/9mP5kjg6CZ https://t.co/yb7luqCMSp,10
10,0.3612,Wed Jan 10 15:06:03 +0000 2018,BBC,0.0,0.857,0.143,These @BBCWthrWatchers photos capture what the weather has looked like across the UK lately. 🌧❄️🌥🌈… https://t.co/RXyER0dCkD,11
11,0.0,Wed Jan 10 14:33:02 +0000 2018,BBC,0.0,1.0,0.0,The 5p charge for plastic bags in large shops in England could be extended to cover nearly all retailers. 🛍… https://t.co/nAgVcPMW7h,12
12,0.4201,Wed Jan 10 14:03:04 +0000 2018,BBC,0.0,0.872,0.128,Nothing depicts the mindset of a time period quite like a living room.🚪Here's how the room has evolved over time. 👉… https://t.co/YS1jycfIZG,13
13,0.0,Wed Jan 10 13:37:04 +0000 2018,BBC,0.0,1.0,0.0,"The International Space Station is humanity’s most expensive structure, but it could vanish in six years. 🚀🌒… https://t.co/cE7BhlzxQP",14
14,0.3182,Wed Jan 10 13:02:01 +0000 2018,BBC,0.0,0.796,0.204,Think you're a bigger football fan than this guy? ❤️️️⚽️ https://t.co/nwkebUvYmb,15
15,0.0,Wed Jan 10 12:53:52 +0000 2018,BBC,0.0,1.0,0.0,"RT @bbcthesocial: | @ShadyLawrence will blow your mind with this transformation! 

#TransformationTuesday https://t.co/eEFtUlYBTD",16
16,0.0,Wed Jan 10 12:29:40 +0000 2018,BBC,0.0,1.0,0.0,"RT @BBCOne: 🐾 Black-footed cats are Africa’s smallest cat, and the deadliest of the entire cat family. Anything that moves is a potential m…",17
17,0.0,Wed Jan 10 12:29:17 +0000 2018,BBC,0.0,1.0,0.0,"RT @TWBBC: Four of the biggest global health stories to follow in 2018:

1. The world's first malaria vaccine
2. Yemen on the brink of fami…",18
18,0.0,Wed Jan 10 12:25:16 +0000 2018,BBC,0.0,1.0,0.0,"🐋❤️️ Could this be the first case on record of a humpback protecting a human?

Via @BBCNews https://t.co/78l0AKNbxB",19
19,0.0,Wed Jan 10 11:57:36 +0000 2018,BBC,0.0,1.0,0.0,"RT @BBCRadio2: 📻 ANNOUNCEMENT 📻
We have a brand new schedule coming to Radio 2 this spring, featuring @jowhiley @simonmayo @sarajcox @djgar…",20
20,0.0,Wed Jan 10 19:30:07 +0000 2018,BBC,0.0,1.0,0.0,You can count on @BBCComedy's Tracey Ullman for a satirical take on current affairs… https://t.co/Tobb25eWjx,21
21,-0.4588,Wed Jan 10 19:20:39 +0000 2018,BBC,0.231,0.769,0.0,"RT @BBCNews: How polluted is your street? 😷

Find out: https://t.co/MW9r2UMufj https://t.co/68AJfgg8rA",22
22,-0.4588,Wed Jan 10 19:20:03 +0000 2018,BBC,0.2,0.8,0.0,RT @bbcthree: This is what happens when you breathe in polluted air. https://t.co/XZlWu2bQjD,23
23,0.8481,Wed Jan 10 19:00:03 +0000 2018,BBC,0.0,0.647,0.353,"😂 @OfficialTLC's Scrubs is great song for the ladies... 

Not so great for the unemployed male.  

#LiveAtTheApollo https://t.co/7UAURqwqIx",24
24,0.0,Wed Jan 10 18:32:03 +0000 2018,BBC,0.0,1.0,0.0,How much of your home's electricity bill goes on making cups of tea or  washing your clothes? Take this quiz to fin… https://t.co/pj3i1cRZaL,25
25,0.3182,Wed Jan 10 18:03:03 +0000 2018,BBC,0.0,0.887,0.113,"Tonight, @CherryHealey teams up with independent scientists to put everyday cosmetics to the test. 💄🔬 

The Truth A… https://t.co/eVsmvaYTgZ",26
26,0.4939,Wed Jan 10 17:30:07 +0000 2018,BBC,0.0,0.862,0.138,"To save Teresa’s life, doctors are going to have to remove part of her face.

(Warning: This video contains graphic… https://t.co/oXdQv5ABqa",27
27,0.0,Wed Jan 10 17:02:03 +0000 2018,BBC,0.0,1.0,0.0,Why does adolescence last twice as long now as it did in the 1950s? 🤔 https://t.co/q3gMvr3mqU https://t.co/X5F9a925ET,28
28,-0.3612,Wed Jan 10 16:22:04 +0000 2018,BBC,0.217,0.783,0.0,Snow has fallen in the Sahara desert. ❄️ https://t.co/804PRapagA https://t.co/RXHi6AdCHb,29
29,-0.6597,Wed Jan 10 15:30:06 +0000 2018,BBC,0.239,0.761,0.0,Researchers have published a study revealing that dogs can be trained to smell cancer. 🐶 https://t.co/9mP5kjg6CZ https://t.co/yb7luqCMSp,30
